"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","NA"
"Eluru","epi",6.8,1.8,67.8,7.5,1.8,75.2,NA
"Eluru","gdm",6.3,1.9,62.6,7.7,1.8,77,NA
"Eluru","htn",6.6,1.6,65.5,7.1,1.5,70.7,NA
"Eluru","qanc",8.1,1.3,81.1,8.3,1.4,83.3,NA
"Guntur","ane",7.5,2.4,75,5.8,3.4,57.5,NA
"Guntur","aph",8.7,1.2,86.7,3.3,1.2,33.3,NA
"Guntur","epi",6.6,2.9,66,5,3.7,50,NA
"Guntur","gdm",6.8,2.8,68,6,3.5,60,NA
"Guntur","htn",8.6,2.1,86,4.8,3.4,48,NA
"Guntur","qanc",8.4,1.3,83.8,8.1,1.9,81.2,NA
"Kadapa","ane",7,NA,70,8,NA,80,NA
"Kadapa","epi",8,NA,80,9,NA,90,NA
"Kadapa","gdm",5,NA,50,9,NA,90,NA
"Kadapa","htn",7,NA,70,9,NA,90,NA
"Kadapa","qanc",8.4,1.4,84.3,9.6,0.8,96,NA
"Kakinada","ane",6.9,1.3,69.4,8.4,1.2,83.7,NA
"Kakinada","aph",6.5,2.2,65.2,8.3,1.2,83.3,NA
"Kakinada","epi",7.4,2.4,73.7,9.1,0.7,90.5,NA
"Kakinada","gdm",7.6,1.2,75.7,8.9,1.3,89,NA
"Kakinada","htn",7.2,1.6,72,7.8,1.3,77.7,NA
"Kakinada","qanc",8.5,1.1,84.7,8.9,1.1,88.7,NA
"Konaseema","ane",7.5,1.6,75.1,8.2,1.6,81.8,NA
"Konaseema","aph",6.1,1.9,60.6,8,1.8,80.5,NA
"Konaseema","epi",7,1.7,70.5,7.8,1.7,78,NA
"Konaseema","gdm",6.6,1.9,65.7,8.2,1.6,81.8,NA
"Konaseema","htn",6.7,1.8,67.2,8,2,79.7,NA
"Konaseema","qanc",8.3,1.4,83.1,8.9,1.2,89.4,NA
"Krishna","ane",7.6,1.7,76.5,8.6,1.4,86,NA
"Krishna","aph",5.2,1.5,51.9,7,2.2,69.6,NA
"Krishna","epi",7.3,1.7,72.7,8.3,1.5,82.7,NA
"Krishna","gdm",7.2,1.7,71.9,8.8,1.2,87.5,NA
"Krishna","htn",6.9,1.6,69.1,7.4,1.6,74.3,NA
"Krishna","qanc",8,1.4,80.3,8.4,1.4,84.1,NA
"Kurnool","ane",7.5,1.5,74.8,8.7,1.3,87.3,NA
"Kurnool","aph",6.2,2.1,61.8,7.2,1.8,71.6,NA
"Kurnool","epi",7.4,1.7,74.3,7.9,1.5,79.1,NA
"Kurnool","gdm",7.2,1.7,72.2,8.5,1.4,85.2,NA
"Kurnool","htn",7.2,1.4,72.1,7.6,1.3,76.4,NA
"Kurnool","qanc",7.8,1.5,78.1,8.7,1.3,87.5,NA
"NTR","ane",7.4,1.4,73.6,8.5,1.1,84.5,NA
"NTR","aph",5,1.1,50,6.1,2,61.3,NA
"NTR","epi",7.3,1.6,72.8,7.4,1.8,73.8,NA
"NTR","gdm",6.3,1.2,63.3,7.2,1.1,72.4,NA
"NTR","htn",6.8,1.4,68.4,7.5,1.1,75.4,NA
"NTR","qanc",8.3,1.4,83,9.3,0.7,92.7,NA
"Nandyal","ane",7.1,1.3,71.1,8.1,1.1,80.9,NA
"Nandyal","aph",6.1,1.5,60.6,8.3,1.4,82.8,NA
"Nandyal","epi",6.5,1.9,64.6,7.5,1.9,75.4,NA
"Nandyal","gdm",6.1,1.5,60.7,7.5,1.7,75.2,NA
"Nandyal","htn",7.1,1.5,71.3,7.7,1.2,76.7,NA
"Nandyal","qanc",8,1.2,80.2,8.3,0.9,83.1,NA
"Nellore","ane",7.7,1.2,77,8.6,1,86.4,NA
"Nellore","aph",6.7,1.7,66.9,8.8,1.4,88.5,NA
"Nellore","epi",6.9,1.7,68.9,8.3,1.2,83,NA
"Nellore","gdm",6.1,1.9,61.3,8.6,1.9,86,NA
"Nellore","htn",7.1,1.5,71.1,8.4,1.8,84,NA
"Nellore","qanc",8.6,1.1,85.7,9.5,0.7,95.3,NA
"Palnadu","ane",7.2,1.7,71.8,8.7,1.4,87.2,NA
"Palnadu","aph",5.3,1.8,53,8.3,1.7,82.7,NA
"Palnadu","epi",6.1,1.9,61,8.1,1.7,80.6,NA
"Palnadu","gdm",6.1,1.9,61.3,8.9,1.6,88.8,NA
"Palnadu","htn",6.5,1.6,65.1,8.2,1.6,82.1,NA
"Palnadu","qanc",7.6,1.6,75.8,9.4,1,94,NA
"Parvatipuram Manyam","ane",7.2,1.6,72.4,8.4,1.9,84.2,NA
"Parvatipuram Manyam","aph",6.5,1.9,64.6,7.8,1.9,78.3,NA
"Parvatipuram Manyam","epi",7.8,1.8,77.8,8.2,1.8,82.2,NA
"Parvatipuram Manyam","gdm",7.6,2,76.3,8.9,1.7,88.6,NA
"Parvatipuram Manyam","htn",6.9,1.5,69.4,8.2,1.9,81.9,NA
"Parvatipuram Manyam","qanc",8.2,1.6,81.5,8.5,1.7,84.5,NA
"Prakasam","ane",7.2,1.5,72.5,8.3,1.1,83.3,NA
"Prakasam","aph",5.9,1.8,59.5,6.9,1.7,69.3,NA
"Prakasam","epi",6.9,1.5,69,8.1,1.5,81.2,NA
"Prakasam","gdm",6.1,1.5,60.8,7.9,1.4,79.5,NA
"Prakasam","htn",7.1,1.4,70.9,7.4,1.4,73.8,NA
"Prakasam","qanc",8,1.2,80.1,8.6,1.1,86.2,NA
"Sri Sathya Sai","ane",7.4,1.4,73.9,8.3,1,82.9,NA
"Sri Sathya Sai","epi",6.7,1.9,66.8,8.4,1,83.7,NA
"Sri Sathya Sai","gdm",6.9,1.8,68.8,9.3,1,93.2,NA
"Sri Sathya Sai","htn",6.3,1.7,62.9,8.2,1.8,82.4,NA
"Sri Sathya Sai","qanc",7.7,1.5,76.9,9,1.2,90.2,NA
"Srikakulam","ane",7.3,1.4,72.5,8,1.3,80.4,NA
"Srikakulam","aph",7.5,2.1,75.4,8.1,2,80.7,NA
"Srikakulam","epi",7.6,1.9,75.8,8.5,1.5,85.1,NA
"Srikakulam","gdm",7.4,1.9,74.3,8.3,1.6,83,NA
"Srikakulam","htn",6.8,1.7,67.6,7.7,1.5,76.6,NA
"Srikakulam","qanc",7.9,1.3,78.8,8.5,1.1,85,NA
"Tirupati","ane",7.5,1.2,75.3,8,1.3,80,NA
"Tirupati","aph",6.1,1.8,61.2,6.7,1.9,67.3,NA
"Tirupati","epi",7,1.8,70.1,8.1,1.5,81.2,NA
"Tirupati","gdm",6.1,1.7,61,7.4,1.9,74.2,NA
"Tirupati","htn",6.9,1.4,69.2,7.1,1.5,71.1,NA
"Tirupati","qanc",8.1,1.2,80.9,8.5,1.2,84.7,NA
"Vijayanagaram","ane",7.5,1.2,74.6,8.2,1,81.8,NA
"Vijayanagaram","aph",6.7,1.8,67.2,7.9,1.4,79.1,NA
"Vijayanagaram","epi",7.3,1.6,72.8,8.1,1.5,81.4,NA
"Vijayanagaram","gdm",7.2,1.8,71.6,8.3,1.4,83.3,NA
"Vijayanagaram","htn",6.7,1.4,66.7,7.7,1.2,77,NA
"Vijayanagaram","qanc",8,1.2,80.4,8.5,1.3,84.9,NA
"Visakhapatnam","ane",8,NA,80,8,NA,80,NA
"Visakhapatnam","epi",3,NA,30,8,NA,80,NA
"Visakhapatnam","htn",7,NA,70,8,NA,80,NA
"Visakhapatnam","qanc",8.5,0.7,85,7.5,0.7,75,NA
"West Godavari","ane",7.2,1.3,71.9,8.1,1.1,81.1,NA
"West Godavari","aph",8,NA,80,7,NA,70,NA
"West Godavari","epi",6.8,1.8,67.6,7.5,2,75.2,NA
"West Godavari","gdm",6.9,1.5,69,7.6,1.6,76.4,NA
"West Godavari","htn",6.6,1.5,65.6,7.5,1.4,74.6,NA
"West Godavari","qanc",7.7,1.6,77,8.3,1.3,82.7,NA
"Overall Average","ane",7.4,1.5,73.6,8.3,1.4,82.6,NA
"Overall Average","aph",6.1,1.9,60.8,7.5,1.9,75.1,NA
"Overall Average","epi",6.9,1.8,68.8,7.9,1.7,79,NA
"Overall Average","gdm",6.6,1.8,65.7,8.1,1.8,80.5,NA
"Overall Average","htn",6.8,1.6,67.8,7.5,1.6,75.1,NA
"Overall Average","qanc",8,1.4,80,8.6,1.3,85.8,NA
